name,province,district,address,hospital_type,image_url,latitude,longitude,source
Jasmine Aekha Upachar Kendra and Chasma Pasal,Lumbini,Rupandehi,,optometrist,,27.49138,83.306065,HDX_OSM
Basic urban health centerr,Karnali,Surkhet,Lekbeshi,hospital,,28.491962,81.784637,HDX_OSM
Lumbini Diagnostic & Pathology,Lumbini,Rupandehi,,laboratory,,27.518718,83.449542,HDX_OSM
Relief Pathology,Lumbini,Rupandehi,,laboratory,,27.518569,83.450006,HDX_OSM
Ultrasound/Video X-ray,Lumbini,Rupandehi,,laboratory,,27.516303,83.452312,HDX_OSM
Buddha Xray DIgital Sewa,Lumbini,Rupandehi,,yes,,27.506125,83.454552,HDX_OSM
Siddhartha pathology,Lumbini,Rupandehi,,yes,,27.506181,83.454142,HDX_OSM
Rosis Pyathology,Lumbini,Rupandehi,,laboratory,,27.506236,83.4534,HDX_OSM
Rawol Ultrasound Sewa,Lumbini,Rupandehi,,laboratory,,27.506238,83.453409,HDX_OSM
Pashupati Lab,Lumbini,Rupandehi,,laboratory,,27.50627,83.452882,HDX_OSM
Tata Pyathology Lab,Lumbini,Rupandehi,,laboratory,,27.516272,83.452399,HDX_OSM
Saraf Health care and teaching Hosital,Lumbini,Rupandehi,,yes,,27.51722,83.449964,HDX_OSM
Pristine Dental,Lumbini,Rupandehi,,dentist,,27.512097,83.452457,HDX_OSM
Satya Omkar Dental Home,Lumbini,Rupandehi,,dentist,,27.514878,83.453163,HDX_OSM
Medi Max Pharmacy,Lumbini,Rupandehi,,clinic,,27.512155,83.454051,HDX_OSM
Star Dental Clinic,Lumbini,Rupandehi,,dentist,,27.515843,83.453527,HDX_OSM
Buddha Dental Clinic,Lumbini,Rupandehi,,dentist,,27.514613,83.453223,HDX_OSM
Shraddha Pharmacy,Lumbini,Rupandehi,,clinic,,27.514644,83.453225,HDX_OSM
Shivam Clinic,Lumbini,Rupandehi,,clinic,,27.514725,83.453243,HDX_OSM
Everest Dental Clinic,Lumbini,Rupandehi,,dentist,,27.514277,83.453347,HDX_OSM
New Buddha X-Ray Service,Lumbini,Rupandehi,,clinic,,27.516657,83.453629,HDX_OSM
Rupa Medical Hall,Lumbini,Rupandehi,,clinic,,27.512006,83.454669,HDX_OSM
Omkar Pharmacy,Lumbini,Rupandehi,,clinic,,27.516336,83.452989,HDX_OSM
Tansen Dental Clinic,Lumbini,Rupandehi,,dentist,,27.517087,83.453166,HDX_OSM
Medilen Pharmacy and Sarita Health Clinic,Lumbini,Rupandehi,,clinic,,27.50029,83.448536,HDX_OSM
पुरनधारा अस्पताल,Lumbini,Dang,,nurse,,28.209728,82.118138,HDX_OSM
प्रेम स्वास्थ्य क्लिनिक,Lumbini,Dang,,clinic,,28.227015,82.113035,HDX_OSM
milan clinic,Lumbini,Rupandehi,,clinic,,27.504076,83.450218,HDX_OSM
Helthpost Vajneuta,Sudurpashchim,Dadeldhura,,clinic,,29.342323,80.597298,HDX_OSM
Sahashraling Helth Post Rai,Sudurpashchim,Dadeldhura,,clinic,,29.299023,80.643379,HDX_OSM
New Mahendra Medical Hall,Lumbini,Rupandehi,,clinic,,27.506026,83.450538,HDX_OSM
Shikhar Pharmacy,Lumbini,Rupandehi,,clinic,,27.507223,83.441631,HDX_OSM
Bhairawaha Dental Care Centre,Lumbini,Rupandehi,,dentist,,27.516084,83.452983,HDX_OSM
Jagadamba Pharmacy,Lumbini,Rupandehi,,clinic,,27.517598,83.452302,HDX_OSM
Aakris Medical Hall,Lumbini,Rupandehi,,clinic,,27.517924,83.450683,HDX_OSM
Fistula Center,Karnali,Surkhet,,clinic,,28.603832,81.601482,HDX_OSM
Family Health Clinic,Bagmati,Lalitpur,,clinic,,27.675254,85.319287,HDX_OSM
Bal Clinic,Lumbini,Rupandehi,,clinic,,27.504787,83.450522,HDX_OSM
R.K Medical Hall,Lumbini,Rupandehi,,clinic,,27.484159,83.440697,HDX_OSM
"Rajdevi Municipality Health Post, Redcross Tole-9",Madhesh,Rautahat,,clinic,,26.755739,85.321297,HDX_OSM
Folliderm Skin Clinic,Bagmati,Kathmandu,,clinic,,27.723992,85.330393,HDX_OSM
"जन स्वास्थ्य सेवा केन्द्र, सैना",Karnali,Kalikot,,clinic,,29.34899,81.760652,HDX_OSM
ANB Hospital,Karnali,Kalikot,,hospital,,29.302577,81.751438,HDX_OSM
जनस्वास्थ्य सेवा केन्द्र,Karnali,Kalikot,,clinic,,29.302701,81.753263,HDX_OSM
"स्वास्थ्य चौकी, थिर्पु",Karnali,Kalikot,,clinic,,29.301884,81.780061,HDX_OSM
जन स्वास्थ्य सेवा केन्द्र,Karnali,Kalikot,,clinic,,29.35833,81.835461,HDX_OSM
सामुदायिक स्वास्थ्य ईकाई धौलागोह,Karnali,Kalikot,,clinic,,29.355032,81.794577,HDX_OSM
स्वास्थ्य चौकी धौलागोह,Karnali,Kalikot,,clinic,,29.343892,81.775802,HDX_OSM
सामुदायिक स्वास्थ्य ईकाइ बदालकोट,Karnali,Kalikot,,clinic,,29.176112,81.636655,HDX_OSM
आधारभूत स्वास्थ्य इकाइ,Karnali,Kalikot,,clinic,,29.137359,81.613783,HDX_OSM
Sahari Swasthya Sanstha Pothiyahi Tole Amarpatty,Madhesh,Rautahat,,clinic,,26.945763,85.298767,HDX_OSM
Jigadawa Beldhuswa Sawasthya Chauki,Madhesh,Rautahat,,clinic,,26.866053,85.273964,HDX_OSM
Basanpati sawastya Chauki,Madhesh,Rautahat,,clinic,,26.845423,85.230583,HDX_OSM
Adharbhut Swasthya Kendra,Madhesh,Rautahat,,clinic,,26.871569,85.278532,HDX_OSM
Paroha Hospital Laukaha,Madhesh,Rautahat,,clinic,,26.848095,85.237854,HDX_OSM
Narkatiya Sawasth Chauki,Madhesh,Rautahat,,clinic,,26.848759,85.202705,HDX_OSM
Rampur Khap Sawasthya Chauki,Madhesh,Rautahat,,clinic,,26.829472,85.194794,HDX_OSM
"Rajpur Tulsi Health Post, Rajpur Tulsi",Madhesh,Rautahat,,clinic,,26.849386,85.287502,HDX_OSM
"Jetharhiya Health Post, Jethariya",Madhesh,Rautahat,,clinic,,26.867372,85.305064,HDX_OSM
"Jetharhiya Birthing Center, Jetharhiya",Madhesh,Rautahat,,clinic,,26.873411,85.298709,HDX_OSM
"Shivdarsan Central Hospital, Jethariya",Madhesh,Rautahat,,hospital,,26.874631,85.296176,HDX_OSM
"Sagarmatha Terai Hospital, Jethariya",Madhesh,Rautahat,,hospital,,26.871583,85.295436,HDX_OSM
"Pashu Sewa,Pachim Tole",Madhesh,Rautahat,,clinic,,26.825796,85.292331,HDX_OSM
"Katahariya Mahila Tatha Bal Hospital-5,Katahariya Bazaar,Katahariya MP",Madhesh,Rautahat,,clinic,,26.979011,85.240578,HDX_OSM
"Katahariya-9,Health Post, Katahariya MP",Madhesh,Rautahat,,clinic,,26.990881,85.26902,HDX_OSM
"Katahariya-6,Basic Health Post, Katahariya MP",Madhesh,Rautahat,,clinic,,26.960991,85.275764,HDX_OSM
Laxmipur Belbichawa Ayurveda Aushadhalaya,Madhesh,Rautahat,,clinic,,26.759312,85.297699,HDX_OSM
"Community Health Post, Hajminiya Pathai",Madhesh,Rautahat,,clinic,,26.785151,85.308228,HDX_OSM
"Basatpur Ayurveda Ausadhalaya, Basatpur",Madhesh,Rautahat,,clinic,,26.790274,85.308334,HDX_OSM
"Hajminiya Heath Post, Hajminiya Durbar",Madhesh,Rautahat,,clinic,,26.788277,85.301262,HDX_OSM
"Dahri Health Post, Motipur",Madhesh,Rautahat,,clinic,,26.811411,85.301773,HDX_OSM
"Jhunkhunwa Health Post, Bhagwati Pathara",Madhesh,Rautahat,,clinic,,26.797344,85.304268,HDX_OSM
"Basatpur Health Post, Basatpur",Madhesh,Rautahat,,clinic,,26.791998,85.315765,HDX_OSM
"Rajdevi Municipality Health Post, Chandhiya Tole",Madhesh,Rautahat,,clinic,,26.797724,85.317749,HDX_OSM
"Mudwalawa Health Post, Mudwalawa",Madhesh,Rautahat,,clinic,,26.768499,85.302948,HDX_OSM
Uttam Health Care,Madhesh,Rautahat,,clinic,,26.757519,85.277847,HDX_OSM
Aadharbhut Swastha Chauki,Madhesh,Rautahat,,clinic,,26.756887,85.27108,HDX_OSM
Aadharbhut Swastha Sewa Kendra,Madhesh,Rautahat,,clinic,,26.762817,85.279388,HDX_OSM
Aadharbhut Swath Kendra,Madhesh,Rautahat,,clinic,,26.76692,85.281486,HDX_OSM
Gaur Private Hospital,Madhesh,Rautahat,,hospital,,26.764965,85.275016,HDX_OSM
Aadharbhut Swasthya Sewa Kendra,Madhesh,Rautahat,,clinic,,26.775194,85.265709,HDX_OSM
Aadharbhut Swasthya Kendra,Madhesh,Rautahat,,clinic,,26.780788,85.282677,HDX_OSM
"Birthing center, Gaur Health Post",Madhesh,Rautahat,,clinic,,26.77925,85.299257,HDX_OSM
महाबौद्ध स्वास्थ्य केन्द्र,Madhesh,Siraha,,clinic,,26.762769,86.392781,HDX_OSM
सहरी स्वास्थ्य केन्द्र,Madhesh,Siraha,,clinic,,26.805034,86.399397,HDX_OSM
सगरमाथा हेल्थ पोलि क्लिनिक,Madhesh,Siraha,,clinic,,26.760691,86.392661,HDX_OSM
फुलाका स्वास्थ्य केन्द्र,Madhesh,Siraha,,clinic,,26.748414,86.368238,HDX_OSM
आर.के. मेडिसिटि अस्पताल,Madhesh,Siraha,,hospital,,26.770074,86.383418,HDX_OSM
ग्रिन एप्पल स्वास्थ्य केन्द्र,Madhesh,Siraha,,clinic,,26.778839,86.364725,HDX_OSM
जनशक्ति उपचार केन्द्र,Madhesh,Siraha,,clinic,,26.778443,86.365934,HDX_OSM
नारायणपुर अस्पताल,Madhesh,Siraha,,hospital,,26.765483,86.389683,HDX_OSM
श्रमजिवी केयर अस्पताल प्रा.लि,Madhesh,Siraha,,hospital,,26.748521,86.417709,HDX_OSM
स्वस्थ्य चौकी हनुमाननगर,Madhesh,Siraha,,clinic,,26.738225,86.400445,HDX_OSM
Friends Model Hospital,Madhesh,Siraha,,hospital,,26.709824,86.489349,HDX_OSM
Sagarmatha Choudhary Eye Hospital,Madhesh,Siraha,,hospital,,26.708705,86.492229,HDX_OSM
Swastha Chauki Dhorna,Madhesh,Siraha,,clinic,,26.780338,86.47657,HDX_OSM
Sahari Swastha Kendra,Madhesh,Siraha,,clinic,,26.831682,86.487183,HDX_OSM
Swastha Chauki Bhawanipur Kalabanjar,Madhesh,Siraha,,clinic,,26.685493,86.467049,HDX_OSM
Swastha Chauki Gadhiya,Madhesh,Siraha,,clinic,,26.668932,86.481323,HDX_OSM
Swastha Chauki Bhramhan Gorchadi,Madhesh,Siraha,,clinic,,26.696926,86.468498,HDX_OSM
Chherapati Health Post,Madhesh,Siraha,,clinic,,26.677362,86.483444,HDX_OSM
Swastha Chauki Govindpur,Madhesh,Siraha,,clinic,,26.759089,86.449196,HDX_OSM
Rouniyar Janashewa Homeopathic Clinic,Madhesh,Siraha,,clinic,,26.722631,86.48401,HDX_OSM
Swastha Chauki Bhadariya,Madhesh,Siraha,,clinic,,26.754417,86.480392,HDX_OSM
Lahan Cancer Care Center,Madhesh,Siraha,,hospital,,26.719065,86.48024,HDX_OSM
Ram Kumar Sarda Uma Parsad Murarka Ismarak Aspatal,Madhesh,Siraha,,clinic,,26.708832,86.493248,HDX_OSM
Siswani Swastha Chauki,Madhesh,Siraha,,clinic,,26.705143,86.436546,HDX_OSM
Padariya Swastha Chauki Lahan 12,Madhesh,Siraha,,clinic,,26.720989,86.452026,HDX_OSM
Bastipur Swasta Chauki,Madhesh,Siraha,,clinic,,26.748234,86.457191,HDX_OSM
Nagar Swastha Kendra,Madhesh,Siraha,,clinic,,26.707037,86.478943,HDX_OSM
Lahan Polyclinic and Diagonostic Centre,Madhesh,Siraha,,clinic,,26.725992,86.48127,HDX_OSM
स्वास्थचौकी (health post),Lumbini,Nawalparasi,,hospital,,27.751178,84.28261,HDX_OSM
Aurahi Health Post Aurahi,Madhesh,Sarlahi,,clinic,,26.897863,85.533585,HDX_OSM
Health post Birthing Center,Madhesh,Sarlahi,,clinic,,26.888567,85.500366,HDX_OSM
Padaria Health Post,Madhesh,Sarlahi,,clinic,,26.913168,85.503433,HDX_OSM
Health Post and Community Center,Madhesh,Sarlahi,,clinic,,26.903813,85.4894,HDX_OSM
Siktahan Health Post,Lumbini,Rupandehi,,clinic,,27.553257,83.550877,HDX_OSM
Kripa Daignostic Laboratory,Lumbini,Rupandehi,,laboratory,,27.512011,83.454668,HDX_OSM
Shivam Pathology,Lumbini,Rupandehi,,laboratory,,27.514749,83.453243,HDX_OSM
Multistar Reference Path Lab,Lumbini,Rupandehi,,yes,,27.51533,83.453638,HDX_OSM
Buddha Accupuncture Sewa,Lumbini,Rupandehi,,yes,,27.51387,83.454064,HDX_OSM
Care Plus Diagnostics & pathology Lab,Lumbini,Rupandehi,,laboratory,,27.511932,83.45468,HDX_OSM
National Path Lab,Lumbini,Rupandehi,,laboratory,,27.512542,83.454522,HDX_OSM
Cordis Health Care Clinic,Lumbini,Rupandehi,,yes,,27.516638,83.453053,HDX_OSM
Devdaha Swastha Chauki,Lumbini,Rupandehi,,clinic,,27.642412,83.596642,HDX_OSM
नागरिक आरोग्य केन्द्र,Lumbini,Rupandehi,,clinic,,27.652552,83.53875,HDX_OSM
Jaya Health Clinic P.V.T 1 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.070732,85.586075,HDX_OSM
Parwanipur Community Health Post 16 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.085841,85.723491,HDX_OSM
Oham Dental Clinic P.V.T 7 Lalbandhi MP,Madhesh,Sarlahi,,dentist,,27.053911,85.629982,HDX_OSM
Lalbandhi Aadharbhut Health Care Center 2 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.05125,85.586281,HDX_OSM
Jutpani Primary Health Care Center 2 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.054762,85.582901,HDX_OSM
Netra Ganj Health Post 1 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.065985,85.592827,HDX_OSM
Ravi Dental Clinic 7 Lalbandhi MP,Madhesh,Sarlahi,,dentist,,27.054071,85.629257,HDX_OSM
Bhawani Health Care P.V.T 1 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.070501,85.586815,HDX_OSM
Taksas Healthcare Private Clinic 7 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.054127,85.631073,HDX_OSM
Basic Health Post,Madhesh,Sarlahi,,clinic,,26.886227,85.510864,HDX_OSM
Basic Health Center,Madhesh,Sarlahi,,clinic,,26.883177,85.495714,HDX_OSM
Nagarik Arogya Service Center Belahi,Madhesh,Sarlahi,,clinic,,26.903643,85.489048,HDX_OSM
Basic Health Unit,Madhesh,Sarlahi,,clinic,,26.893972,85.523216,HDX_OSM
आधार्भुत स्वस्थ्य केन्द्र,Lumbini,Rupandehi,,clinic,,27.633955,83.559929,HDX_OSM
आधारभुत स्वास्थ्य केन्द्र( वार्ड न-९),Lumbini,Rupandehi,,clinic,,27.65612,83.573715,HDX_OSM
शिवनगर आधारभुत स्वास्थ्य सेवा केन्द्र,Lumbini,Rupandehi,,clinic,,27.640735,83.313838,HDX_OSM
Tenuhawa Health Post,Lumbini,Rupandehi,,clinic,,27.490432,83.243417,HDX_OSM
Khudabagar Health post,Lumbini,Rupandehi,,clinic,,27.511977,83.311182,HDX_OSM
Bhagwanpur Health Post,Lumbini,Rupandehi,,clinic,,27.446813,83.263391,HDX_OSM
Aama Primary Health Centre,Lumbini,Rupandehi,,clinic,,27.414573,83.268475,HDX_OSM
Dhiraj Pharmacy,Lumbini,Rupandehi,,clinic,,27.518009,83.332832,HDX_OSM
Grishma Commnity Health Post 17 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.034441,85.64772,HDX_OSM
Lalbandi Community Health Care Center 7 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.054884,85.628662,HDX_OSM
Aayansh Prathamik Clinic Center,Madhesh,Sarlahi,,clinic,,27.040001,85.603416,HDX_OSM
Jabidi Swasta Chauki 4 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.035625,85.61792,HDX_OSM
Nagar Swasthy Shahari Clinic 3 Lalbandhi MP,Madhesh,Sarlahi,,clinic,,27.020685,85.613098,HDX_OSM
